Academy,Project Name,Order,Lesson Name,Group,Title,Time,Description
Lower,Symbol & Self,1,Self as Stuff,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Symbol & Self, Lesson 1"
Lower,Symbol & Self,1,Self as Stuff,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Symbol & Self,1,Self as Stuff,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Symbol & Self,1,Self as Stuff,Worktime,FOCUS ON ATTACHING STORIES AND MEANING TO OBJECTS,,"At this point, the focus of the class period should be getting student artists thinking about how their objects represent different parts of themselves; as the teacher circulates, s/he should ask them to tell her the stories or the meanings behind the objects they have chosen to trace. If the pages are slippery with the tracing paper, hand out masking tape to keep the tracing paper in place. "
Lower,Symbol & Self,1,Self as Stuff,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Symbol & Self,2,Proportions,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Symbol & Self,2,Proportions,Introduction,WATCH THE VIDEO AND HAVE STUDENT ARTISTS WORK ALONGSIDE,15-20M,"Students will be working along with the film. Pass out paper & pencils before playing the video and be prepared to  pause the film when it says ‘pause’. Monitor the class and begin the film again after *most of the students have finished their work.   

Watch Video: Symbol & Self, Lesson 2    

* Commonly, student artists will continue to draw once even after the video starts again. To counter this, consider making a game out of putting their pencils down (count down, fastest student to put their pencil in the middle of the table gets a star on their hand with washable marker, etc.). Remind students that they are just mapping out where the different parts of the face go, they will have time at the end to finesse them. They should draw lightly, and not worry too much about whether or not it looks ‘right’. It might also be helpful to repeat the instructions during the drawing time. "
Lower,Symbol & Self,2,Proportions,Inspiration,SUMMATION,,"Tell student artists that you are going to give them the last 5 minutes to go back and revise their work. Tell them not to be overly picky, as they will be making major changes next lesson. The main focus today is to make sure all the features are in the right spot and loosely look like the student artist who drew them. "
Lower,Symbol & Self,2,Proportions,Worktime,INDEPENDENT,10-15M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Symbol & Self,2,Proportions,Worktime,FOCUS IS ON STUDENTS CREATING A PORTRAIT WHERE ALL THE FEATURES ARE PRESENT AND IN THE RIGHT SPOT. DETAILS AND ‘FINESSE’ ARE NOT IMPORTANT TO THIS LESSON. ,,"The focus of this class period is for students to understand how the different features of their face relate to one another and to be to understand  the correlation between their real/physical face and the drawing. 
Encourage students to worry less about getting an accurate portrait and more about ‘planning’ their portrait. Remind them to draw lightly, as they will probably have to erase! 
If there are mirrors available, the teacher can offer them to students who have successfully ‘mapped’ out their face, and they can begin refining their features to be a more accurate representation."
Lower,Symbol & Self,2,Proportions,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. Always end the conversation by asking the class to give the artist a compliment. "
Upper,Symbol & Self,2,Proportions,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Symbol & Self,2,Proportions,Introduction,WATCH THE VIDEO INTRODUCTION,10M,"   
Watch Video: Symbol & Self, Lesson 2 
   
NOTE: Pass out paper, pencils, and hand-outs before playing the video. During the ‘guideline’ portion of the video, have students work alongside the film, pausing it as they complete each step when the video says ‘pause’. Commonly, student artists will continue to draw once even after the video starts again. To counter this, consider making a game out of putting their pencils down (count down, fastest student to put their pencil in the middle of the table gets a star on their hand with washable marker, etc.). Remind students that they are just mapping out where the different parts of the face go, they will have time at the end to finesse them. They should draw lightly, and not worry too much about whether or not it looks ‘right’. "
Upper,Symbol & Self,2,Proportions,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Symbol & Self,2,Proportions,Worktime,INDEPENDENT,15-20M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Symbol & Self,2,Proportions,Worktime,FOCUS IS ON STUDENTS CORRECTLY USING GUIDELINES TO MAP THEIR PORTRAITS,,"The focus of this class period is for students to understand how to use guidelines to map our their features; unfortunately, as with very skill-based processes, some of them will likely get frustrated. See ‘anticipated problems’ for solutions. Encourage students to worry less about getting an accurate portrait and more about ‘planning’ their portrait; using guidelines to figure out where the proper placement of things are on their face and creating a rough idea of what they look like. Remind them to draw lightly, as they will probably have to erase! If there are mirrors available, the teacher can offer them to students who have successfully ‘mapped’ out their face, and they can begin refining their features to be a more accurate representation. Encourage kids not to get too nit-picky—next lesson they will have more options to finish and alter their portrait. In fact, if some become frustrated with the details, have them loosely map out where their features belong then put the drawing to the side and work on the ‘early finishers’ project. "
Upper,Symbol & Self,2,Proportions,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room. Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 
Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.   
 
A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. Always end the conversation by asking the class to give the artist a compliment. "
Lower,Symbol & Self,3,Combining Elements,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Symbol & Self,3,Combining Elements,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Symbol & Self, Lesson 3"
Lower,Symbol & Self,3,Combining Elements,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Symbol & Self,3,Combining Elements,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Symbol & Self,3,Combining Elements,Worktime,FOCUS ON CHOOSING WHAT AND DECIDING HOW TO COMBINE THE OBJECTS WITH THE PORTRAITS. ,,"At this point, the focus of the class period should be getting student artists to incorporate the objects that they chose to represent themselves into their realistic portraits. The teacher wants to make sure that s/he is encouraging unique depictions; comment on the students who are invested in telling their own story in their portrait rather than mimicking their neighbors or the examples. This project has a great deal of choice in it, so the teacher should make sure that that s/he is setting up an environment where students are comfortable making decisions as well as mistakes. S/he should be enthusiastic but commenting genuinely; making sure to recognize those kids embracing their own choices and, while maintaining positivity, not giving empty compliments. 
Make sure to have the books and magazines available that students referenced in Lesson 1. Many students will want to revisit tracing/symbolism now that they have a clear idea of the outcome, which is fine. "
Lower,Symbol & Self,3,Combining Elements,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Upper,Symbol & Self,3,Combining Elements,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Symbol & Self,3,Combining Elements,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Symbol & Self, Lesson 3"
Upper,Symbol & Self,3,Combining Elements,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Symbol & Self,3,Combining Elements,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates.  Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Symbol & Self,3,Combining Elements,Worktime,FOCUS ON CHOOSING WHAT AND DECIDING HOW TO COMBINE THE OBJECTS WITH THE PORTRAITS. ,,"At this point, the focus of the class period should be getting student artists to incorporate the objects that they chose to represent themselves into their realistic portraits. The teacher wants to make sure that s/he is encouraging unique depictions; comment on the students who are invested in telling their own story in their portrait rather than mimicking their neighbors or the examples. This project has a great deal of choice in it, so the teacher should make sure that that s/he is setting up an environment where students are comfortable making decisions as well as mistakes. S/he should be enthusiastic but commenting genuinely; making sure to recognize those kids embracing their own choices and, while maintaining positivity, not giving empty compliments. 
Make sure to have the books and magazines available that students referenced in Lesson 1. Many students will want to revisit tracing/symbolism now that they have a clear idea of the outcome, which is fine. "
Upper,Symbol & Self,3,Combining Elements,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Symbol & Self,4,Finishing with Colored Pencils,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Symbol & Self,4,Finishing with Colored Pencils,Introduction,WATCH THE VIDEO INTRODUCTION,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Symbol & Self,4,Finishing with Colored Pencils,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Symbol & Self,4,Finishing with Colored Pencils,Worktime,FOCUS ON TECHNIQUE AND CAREFUL AND THOUGHTFUL COLORING,,"Student artists will have two days to complete coloring, so remind them not to rush. Encourage them to cover up all the white areas before moving on to details. Ask them about the decisions that they are making to make them them aware of focused artistic decisions; i.e, “Why did you decide to use a short, diagonal line pattern?” or “I’m noticing your color choices! How did you decide on them?” Keep the observations neutral and let the students take it from there. "
Lower,Symbol & Self,4,Finishing with Colored Pencils,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Upper,Symbol & Self,4,Finishing with Colored Pencils,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Symbol & Self,4,Finishing with Colored Pencils,Introduction,WATCH THE VIDEO INTRODUCTION,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Symbol & Self,4,Finishing with Colored Pencils,Worktime,INDEPENDENT,20-25M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Symbol & Self,4,Finishing with Colored Pencils,Worktime,FOCUS ON TECHNIQUE AND CAREFUL AND THOUGHTFUL COLORING,,"Student artists will have two days to complete coloring, so remind them not to rush. Encourage them to cover up all the white areas before moving on to details. Ask them about the decisions that they are making to make them them aware of focused artistic decisions; i.e, “Why did you decide to use a short, diagonal line pattern?” or “I’m noticing your color choices! How did you decide on them?” Keep the observations neutral and let the students take it from there. "
Upper,Symbol & Self,4,Finishing with Colored Pencils,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The reset of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.    

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.    

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.    

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.    

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
Lower,Symbol & Self,5,Final Workday,Introduction,INSTRUCTIONS: CAREFULLY COMPLETE & AN ARTIST STATEMENT,5m,"Tell the students that they will have the entire day to color and finish their work. Show them the example of ‘finished/unfinished’ work. Ask them to point out the differences. Afterwards, explain to them that when they are finished, they can begin working on an artist statement. An artist statement is something that an artist writes that can tell his or her viewer important information about his or her artwork if he or she is not there to explain it in person. Show them the artist statement sheet and give them an example. "
Lower,Symbol & Self,5,Final Workday,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Lower,Symbol & Self,5,Final Workday,Worktime,INDEPENDENT,25-30M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Lower,Symbol & Self,5,Final Workday,Worktime,FOCUS ON TECHNIQUE AND CAREFUL AND THOUGHTFUL COLORING,,"Encourage them to cover up all the white areas before moving on to details. Ask them about the decisions that they are making to make them them aware of focused artistic decisions; i.e, “Why did you decide to use a short, diagonal line pattern?” or “I’m noticing your color choices! How did you decide on them?” Keep the observations neutral and let the artists take it from there. "
Lower,Symbol & Self,5,Final Workday,Clean-up/Presentations,STUDENTS SHARE THE WORK OF THE ARTIST THEY INTERVIEWED. ,5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Have the rest of the class gather close, choose a partner, and interview them about the artistic decisions that they made.

Have students come up and present the work of the person they interviewed. The artist is not allowed to say anything until the end. 

*It might be worth setting aside some time to look at all the work their fellow classmates made; whether through a presentation in the hall or setting them out on a table and having a walk through. "
Upper,Symbol & Self,5,Final Workday,Introduction,INSTRUCTIONS: CAREFULLY COMPLETE & AN ARTIST STATEMENT,5m,"Tell the students that they will have the entire day to color and finish their work. Show them the example of ‘finished/unfinished’ work. Ask them to point out the differences. Afterwards, explain to them that when they are finished, they can begin working on an artist statement. An artist statement is something that an artist writes that can tell his or her viewer important information about his or her artwork if he or she is not there to explain it in person. Show them the artist statement sheet and give them an example. "
Upper,Symbol & Self,5,Final Workday,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Symbol & Self,5,Final Workday,Worktime,INDEPENDENT,25-30M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Symbol & Self,5,Final Workday,Worktime,FOCUS ON TECHNIQUE AND CAREFUL AND THOUGHTFUL COLORING,,"Encourage them to cover up all the white areas before moving on to details. Ask them about the decisions that they are making to make them them aware of focused artistic decisions; i.e, “Why did you decide to use a short, diagonal line pattern?” or “I’m noticing your color choices! How did you decide on them?” Keep the observations neutral and let the artists take it from there. "
Upper,Symbol & Self,5,Final Workday,Clean-up/Presentations,STUDENTS SHARE THE WORK OF THE ARTIST THEY INTERVIEWED. ,5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. Make sure to train these helpers well in advance so that you aren’t left with a messy room. 

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy. 

Have the rest of the class gather close, choose a partner, and interview them about the artistic decisions that they made.

Have students come up and present the work of the person they interviewed. The artist is not allowed to say anything until the end. 

*It might be worth setting aside some time to look at all the work their fellow classmates made; whether through a presentation in the hall or setting them out on a table and having a walk through. "
Lower,Dream House,1,Learning to See,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 

*alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook 

**the point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Lower,Dream House,1,Learning to See,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 1, Dream House"
Lower,Dream House,1,Learning to See,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today? In particular, make sure they understand ‘contour’ (a contour is the outline of something), then have students repeat the word ‘contour’ after you. "
Lower,Dream House,1,Learning to See,Worktime,INDEPENDENT WORK,10-15M,"Students will work independently on their blind contour drawings, but there will be giggles and laughter. Expect this to be a silly lesson. 
Compliment the kids who don’t have a perfect drawing—the messier it is the more it means they aren’t looking at their paper! At this point, have a brief class discussion about what they noticed about their hand that they wouldn’t have noticed otherwise.  
Have them then move on to drawing their neighbor’s face.  "
Lower,Dream House,1,Learning to See,Worktime,FOCUS ON STUDENTS CLOSELY OBSERVING DETAILS. ,,"At this point, the students should be having a lot of fun and enjoying themselves, but the focus of the conversation should be on the extra details they have found by looking closely, such as curved lines, fine hairs, the shape of fingers, and so on.  
 
"
Lower,Dream House,1,Learning to See,Worktime,"BLIND BAG DEMO, INDEPENDENT WORK",10m,"Allow the blind contour drawing to run it’s course. If students need a second activity, stop the class and demo this as the second activity:
DEMO BLIND BAG: reach into a bag, feel an object, and draw it based on what you feel. 
Pair students so that their neighbor can choose the object that they will draw blindly. "
Lower,Dream House,1,Learning to See,Worktime,FOCUS ON STUDENTS CLOSELY OBSERVING DETAILS. ,,"The focus of the conversation should be how they are representing what they are feeling, such as odd shapes and texture. "
Upper,Dream House,1,Learning to See,Inspiration,LOOK AND DISCUSS AN ART PIECE THAT INTRODUCES SOME OF THE LESSON CONCEPTS.,10m,"Project the inspiration image where students can see it. Give students a moment to *study it silently, then begin a **brief discussion with the phrase, “What can we find?”. Paraphrase what students say for the benefit of the class, being careful to remain neutral, then ask “What else can we find?”. 
*Alternately, allow them to draw or write what they notice on a blank piece of paper or in a sketchbook.
**The point of this discussion time is to have students learn and add onto each other’s thoughts. By remaining neutral and simply repeating what students say you allow students to do the heavy mental lifting and also create an environment where there is no wrong answer, fostering creativity and mental risk-taking.  "
Upper,Dream House,1,Learning to See,Introduction,WATCH THE VIDEO INTRODUCTION,5m,"
Watch Video: Lesson 1, Dream House"
Upper,Dream House,1,Learning to See,Introduction,CHECK FOR UNDER-STANDING,,"Check for understanding by asking, “Who was listening closely that can sum up what we are doing today?” Make sure that student artists can list all the steps and clarify anything that needs clarifying. "
Upper,Dream House,1,Learning to See,Worktime,INDEPENDENT WORKTIME,20-25M,The students work independently on their work as the teacher circulates. Foster strong work habits by commenting on student artists who are focused on their work as well as student artist who seems be pushing themselves to try new things.
Upper,Dream House,1,Learning to See,Worktime,FOCUS ON STUDENTS CREATING THE ‘SKELETON’ OF THEIR HOUSE ,,"At this point, students should be building the structure of their dream house. They can use scissors to alter the shape of their buildings. While it is not a problem if they add windows, doors, and other details, encourage them to think of this more as a sketch, or the skeleton of their dream house. They primarily want to establish the shape and size of their house."
Upper,Dream House,1,Learning to See,Clean-up/Presentations,"STUDENTS DISCUSS THE ARTISTIC DECISIONS THAT THEY MADE USING ‘WHAT, HOW, AND WHY” THEN TAKE COMMENTS OR QUESTIONS. ",5-10M,"Depending on the teacher’s style of classroom management, it might be helpful to only choose and train a few kids to clean. The rest of the class can be busy with the presentation. Make sure to train these helpers well in advance so that you aren’t left with a messy room.  

Clean-up times will vary with materials; get to know your class and allow 5-10 minutes depending on how efficient they are and whether or not the material was messy.  

Choose presenting student artists in advance and let them know during their work time so that they are prepared. Sharing should work as follows:
Student stands in by their work. A teacher should hold it, or place it on an easel.  

The student presents their work, answering What they made, How they made it, and Why they made the decisions that they did. When they are done they ask “Any comments or questions?” and can take responses from the audience.  

A note on responses: it is o.k. if a audience member questions or wants clarification from the artist. It is also o.k. if an audience member makes suggestions. But it must be done in a kind, thoughtful, and respectful way. 
Always end the conversation by asking the class to give the artist a compliment. "
